LION.ID,State,County,City,Organization,Website,Type,LION OutletsCounty
206,ME,Aroostook County,Madawaska,Fiddlehead Focus,fiddleheadfocus.com,Online News Organization,Aroostook
207,ME,Franklin County,Farmington,Daily Bulldog,dailybulldog.com,Online News Organization,Franklin
208,ME,Kennebec County,Hallowell,Pine Tree Watchdog,pinetreewatchdog.org,Online News Organization,Kennebec
209,ME,Penobscot County,Bangor,Maine Edge,themaineedge.com,Online News Organization,Penobscot
210,MI,Clinton County,East Lansing,East Lansing Info,eastlansinginfo.com,Online News Organization,Clinton
211,MI,Wayne County,Detroit,Detour Detroit,http://detourdetroiter.com/,Online News Organization,Wayne
212,MI,Oakland County,Ferndale,Oakland County 115,http://oaklandcounty115.com/,Online News Organization,Oakland
213,MI,Jackson County,Jackson,Jacksonopolis,jacksonopolis.com,Online News Organization,Jackson
214,MI,Clinton County,Lansing,Great Lakes Echo,greatlakesecho.org,Online News Organization,Clinton
215,MI,Wayne County,Detroit,Bridge Michigan,bridgemi.com,Online News Organization,Wayne
216,MI,Ionia County,Portland,The Portland Beacon,theportlandbeacon.com,Online News Organization,Ionia
217,MI,Genesee County,Flint,Flint Beat,flintbeat.com,Online News Organization,Genesee
218,MI,Kent County,Grand Rapids,Local Spins,localspins.com,Online News Organization,Kent
219,MI,Oakland County,Farmington,Farmington Voice,http://farmingtonvoice.com/,Online News Organization,Oakland
220,MI,Kent County,Grand Rapids,The Rapidian,therapidian.org,Online News Organization,Kent
221,MI,Washtenaw County,Chelsea,Chelsea Update,chelseaupdate.com,Online News Organization,Washtenaw
222,MI,Kent County,Grand Rapids,GR Kids,,Online News Organization,Kent
223,MI,Wayne County,Detroit,Motor City Muckracker,motorcitymuckraker.com,Online News Organization,Wayne
224,MI,Wayne County,Livonia,Redford Sentinel,redfordsentinel.com,Online News Organization,Wayne
225,MI,Washtenaw County,Saline,The Saline Post,thesalinepost.com,Online News Organization,Washtenaw
226,MI,Lenawee County,Adrian,Adrian Today,adriantoday.com,Online News Organization,Lenawee
227,MN,Hennepin County,Minneapolis,Twin Cities Daily Planet,tcdailyplanet.net,Online News Organization,Hennepin
228,MN,Hennepin County,Minneapolis,MinnPost,minnpost.com,Online News Organization,Hennepin
229,MN,Ramsey County,St. Paul,Midwest Energy News,midwestenergynews.com,Online News Organization,Ramsey
230,MN,Wright County,Albertville,North Wright County Today,northwrightcounty.today,Online News Organization,Wright
231,MN,Washington County,Stillwater,Stillwater Current,stillwatercurrent.com,Online News Organization,Washington
232,MO,St. Louis County,Brentwood,40 South News,40southnews.com,Online News Organization,St. Louis
233,MO,Boone County,Columbia,Columbia Heartbeat,columbiaheartbeat.com,Online News Organization,Boone
234,MO,St. Charles County,Josephville,70 West Sentinel,https://www.70westsentinel.com/,Online News Organization,St. Charles
235,MS,Madison County,Ridgeland,Mississippi Today,Mississippitoday.org,Online News Organization,Madison
236,MT,Yellowstone County,Billings,Last Best News,lastbestnews.com,Online News Organization,Yellowstone
237,MT,Cascade County,Great Falls,The Electric,theelectricgf.com,Online News Organization,Cascade
238,MT,Yellowstone County,Billings,Montana Center for Investigative Reporting,mtcir.org,Online News Organization,Yellowstone
239,MT,Lewis and Clark County,Helena,Montana Free Press,montanafreepress.org,Online News Organization,Lewis and Clark
240,MT,Missoula County,Missoula,Missoula Current,missoulacurrent.com,Online News Organization,Missoula
241,NC,Buncombe County,Asheville,Carolina Public Press,carolinapublicpress.org,Online News Organization,Buncombe
242,NC,Forsyth County,Winston-Salem,Camel City Dispatch,camelcitydispatch.com,Online News Organization,Forsyth
243,NC,Bladen County,Elizabethtown,Bladen Online,bladenonline.com,Online News Organization,Bladen
244,NC,Caldwell County,Blowing Rock,Blowing Rock News,blowingrocknews.com,Online News Organization,Caldwell
245,NC,Mecklenburg County,Charlotte,Q City Metro,qcitymetro.com,Online News Organization,Mecklenburg
246,NC,Chatham County,Cary,Cary Citizen,carycitizen.com,Online News Organization,Chatham
247,NC,Pitt County,Greenville,Pitt County Post,pittcountypost.com,Online News Organization,Pitt
248,NC,Carteret County,Newport,Coastal Review Online,coastalreview.org,Online News Organization,Carteret
249,NC,Durham County,Durham,Durham Sky Writer,durhamskywriter.com,Online News Organization,Durham
250,NC,Craven County,New Bern,New Bern Post,newbernpost.com,Online News Organization,Craven
251,NC,Durham County,Chapel Hill,North Carolina Health News,northcarolinahealthnews.org,Online News Organization,Durham
252,NC,Mecklenburg County,Charlotte,Charlotte Agenda,charlotteagenda.com,Online News Organization,Mecklenburg
253,NC,Craven County,New Bern,New Bern Now,newbernnow.com,Online News Organization,Craven
254,ND,Cass County,Fargo,Building the Bakken,thecrudelife.com,Online News Organization,Cass
255,NH,Hillsborough County,Manchester,Manchester Ink Link,manchesterinklink.com,Online News Organization,Hillsborough
256,NH,Hillsborough County,Peterborough,Monadnock Beat,monadnockbeat.com,Online News Organization,Hillsborough
257,NH,Strafford County,Barrington,In Depth New Hampshire,indepthnh.org,Online News Organization,Strafford
269,NJ,Monmouth County,Asbury Park,Asbury Park Sun,http://asburyparksun.com/,Online News Organization,Monmouth
306,NJ,Atlantic County,Atlantic City,Breaking AC,breakingac.com,Online News Organization,Atlantic
312,NJ,Atlantic County,Atlantic City,AC Primetime,acprimetime.com,Online News Organization,Atlantic
265,NJ,Union County,Berkeley Heights,TAP into Berkeley Heights,http://thealternativepress.com/towns/berkeley-heights,Online News Organization,Union
270,NJ,Ocean County,Brick,Brick Shorebeat,brick.shorebeat.com,Online News Organization,Ocean
260,NJ,Somerset County,Bridgewater,TAP into The Breeze,http://thealternativepress.com/towns/bridgewater-raritan,Online News Organization,Somerset
313,NJ,Atlantic County,Brigantine,Brigantine Now,brigantinenow.com,Online News Organization,Atlantic
276,NJ,Essex County,Caldwell,Jersey Tomato Press,http://thejerseytomatopress.com/,Online News Organization,Essex
311,NJ,Camden County,Camden,NJ Pen,www.njpen.com,Online News Organization,Camden
278,NJ,Morris County,Chatham,TAP into Chatham,http://tapinto.net/towns/scotch-plains-slash-fanwood,Online News Organization,Morris
280,NJ,Union County,Clark,TAP into Clark,http://thealternativepress.com/towns/clark,Online News Organization,Union
261,NJ,Union County,Cranford,Cranford Radio,www.cranfordradio.com,Online News Organization,Union
322,NJ,Union County,Cranford,Hidden NJ,http://www.hiddennj.com,Online News Organization,Union
283,NJ,Middlesex County,Dunellen,Dunellen 411,www.dunellen411.com,Online News Organization,Middlesex
316,NJ,Essex County,East Orange,TAP into East Orange,http://thealternativepress.com/towns/east-orange,Online News Organization,Essex
308,NJ,Middlesex County,Edison,TAP into Edison,http://thealternativepress.com/towns/edison,Online News Organization,Middlesex
262,NJ,Sussex County,Franklin,Franklin Reporter & Advocate,franklinreporter.com,Online News Organization,Sussex
296,NJ,Hunterdon County,Frenchtown,NJ Environment News,http://njenvironmentnews.com/,Online News Organization,Hunterdon
300,NJ,Bergen County,Glen Rock,Banana Tree News/Glen Rock News today,bananatreenews.com,Online News Organization,Bergen
263,NJ,Camden County,Gloucester City,Gloucester City News,cnbnews.net,Online News Organization,Camden
289,NJ,Sussex County,Hardyston,TAP into Hardyston,http://tapinto.net/towns/millburn-slash-short-hills,Online News Organization,Sussex
318,NJ,Middlesex County,Highland Park,Highland Park Planet,www.highlandparkplanet.org,Online News Organization,Middlesex
288,NJ,Hudson County,Hoboken,Hoboken Girl,http://hobokengirl.com/,Online News Organization,Hudson
328,NJ,Hudson County,Hoboken,Hudson Mile Square View,http://www.hobokenhorse.com/,Online News Organization,Hudson
287,NJ,Monmouth County,Holmdel,Tap Into Holmdel,tapintoholmdel.net,Online News Organization,Monmouth
333,NJ,Mercer County,Hopewell Valley,MercerMe,http://www.mercerme.com,Online News Organization,Mercer
267,NJ,Hudson County,Jersey City,Jersey City Independent,jerseycityindependent.com,Online News Organization,Hudson
279,NJ,Ocean County,Lakewood,Lakewood Scoop,www.thelakewoodscoop.com,Online News Organization,Ocean
258,NJ,Hunterdon County,Lebanon,Super Aging NJ,www.superagingnj.com,Online News Organization,Hunterdon
271,NJ,Essex County,Livingston,TAP into Livingston,http://thealternativepress.com/towns/livingston,Online News Organization,Essex
285,NJ,Morris County,Madison,TAP into Madison,http://tapinto.net/towns/scotch-plains-slash-fanwood,Online News Organization,Morris
