state,newspaper_id,newspaper_name,frequency,city,county,owner_id,owner_name,owner_type,total_circulation
AR,15029,Ashley County Ledger,W,Hamburg,Ashley,4029,Moyers David,Private,3072
AR,14904,Advance-Monticellonian,W,Monticello,Drew,5037,Smith Newspapers,Private,3200
AR,14169,Lafayette County Press,W,Stamps,Lafayette,1122,Angel County Printing,Private,1550
AR,14168,Herald-Leader The,W,Siloam Springs,Benton,5735,Wehco Media,Private,4638
AR,13879,West Memphis Evening Times,D,Marion,Crittenden,1956,Crittenden Publishing Co Inc,Private,8000
AR,13606,Times-Herald,D,Forrest City,St. Francis,6055,Argent Arkansas News Media,Private,4500
AR,13418,Stuttgart Daily Leader The,D,Stuttgart,Arkansas,2464,New Media/GateHouse,Investment,2397
AR,12822,Pine Bluff Commercial,D,Pine Bluff,Jefferson,2464,New Media/GateHouse,Investment,8039
AR,12741,Paragould Daily Press,D,Paragould,Greene,4356,Paxton Media Group,Private,4200
AR,12123,Malvern Daily Record,D,Malvern,Hot Spring,3017,Horizon Publications,Private,6540
AR,12046,Log Cabin Democrat,D,Conway,Faulkner,2464,New Media/GateHouse,Investment,7000
AR,12031,Arkansas Democrat-Gazette,D,Little Rock,Pulaski,5735,Wehco Media,Private,130625
AR,11789,Jonesboro Sun,D,Jonesboro,Craighead,4356,Paxton Media Group,Private,19830
AR,11645,Sentinel-Record The,D,Hot Springs,Garland,5735,Wehco Media,Private,13227
AR,11530,Harrison Daily Times,D,Harrison,Boone,1836,Community Publishers Inc,Private,5813
AR,11337,Southwest Times Record,D,Fort Smith,Sebastian,2464,New Media/GateHouse,Investment,22351
AR,11131,El Dorado News-Times,D,El Dorado,Union,5735,Wehco Media,Private,6777
AR,10958,Helena Arkansas Daily World The,W,Helena,Phillips,2464,New Media/GateHouse,Investment,2157
AR,10810,Daily Citizen,D,Searcy,White,4356,Paxton Media Group,Private,5686
AR,10750,Courier,D,Russellville,Pope,4356,Paxton Media Group,Private,6500
AR,10466,Camden News,D,Camden,Ouachita,5735,Wehco Media,Private,4342
AR,10325,Blytheville Courier-News,D,Blytheville,Mississippi,4797,Rust Communications,Private,2290
AR,10274,Saline Courier,D,Benton,Saline,3017,Horizon Publications,Private,16400
AR,10228,Baxter Bulletin,D,Mountain Home,Baxter,2547,Gannett,Public,8264
AR,10224,Batesville Daily Guard,D,Batesville,Independence,4356,Paxton Media Group,Private,9067
AR,10212,Banner-News The,D,Magnolia,Columbia,5735,Wehco Media,Private,3500
AZ,90268,Yuma Sun,D,Yuma,Yuma,4670,Rhode Island Suburban Newspapers Operation,,12045
AZ,90258,Navajo Times,W,Window Rock,Apache,6224,Navajo Times Publishing,,20006
AZ,90257,Maricopa Monitor,W,Maricopa,Maricopa,1651,Casa Grande Valley Newspapers,Private,0
AZ,90222,La Estrella de Tucson,W,Tucson,Pima,3484,Lee Enterprises,Public,32000
AZ,90192,Marana News,W,Tucson,Pima,6034,Tucson Local Media,Investment,0
AZ,90177,Navajo Hopi Observer,W,Flagstaff,Coconino,5767,Western News and Info,Private,13782
AZ,50447,Tucson Weekly,W,Tucson,Pima,6034,Tucson Local Media,Investment,38500
AZ,50424,Au-Authm Action News,W,Scottsdale,Maricopa,3691,Salt River Pima-Maricopa Indian Community,Private,0
AZ,50411,Arizona Informant,W,Phoenix,Maricopa,1613,Campbell Cloves C,Private,15000
AZ,21571,Sahuarita Sun,W,Green Valley,Pima,5813,Wick Communications,Private,9201
AZ,21414,New Times,W,Phoenix,Maricopa,5632,Voice Media Group,Private,80000
AZ,21347,Daily News-Sun,D,Sun City,Maricopa,3091,Independent Newsmedia,Private,4079
AZ,21066,Camp Verde Bugle,W,Camp Verde,Yavapai,5767,Western News and Info,Private,824
AZ,20893,Williams-Grand Canyon News,W,Williams,Coconino,5767,Western News and Info,Private,3000
AZ,20869,White Mountain Independent,W,Show Low,Navajo,3378,Kramer Publications,Private,11511
AZ,20806,West Valley View,W,Avondale,Maricopa,5761,West Valley View Inc,Private,73876
AZ,20500,Town of Paradise Valley Independent,W,Phoenix,Maricopa,3091,Independent Newsmedia,Private,7775
AZ,20461,Fountain Hill Times The,W,Fountain Hills,Maricopa,1965,Cruikshank Alan,Private,5300
AZ,20387,Wickenburg Sun,W,Wickenburg,Maricopa,1468,Brehm Communications,Private,7400
AZ,20150,Superior Sun The,W,Superior,Pinal,6058,Copper Area News Publishers,Private,1123
AZ,19820,Payson Roundup,W,Payson,Gila,3378,Kramer Publications,Private,5335
AZ,19390,Camp Verde Journal The,W,Camp Verde,Yavapai,3453,Larson Newspapers,Private,2125
AZ,19200,Glendale Star,W,Glendale,Maricopa,4543,Pueblo Publishers Inc.,Private,6520
AZ,18538,Sun City Independent,W,Sun City,Maricopa,3091,Independent Newsmedia,Private,20839
AZ,18209,Sedona Red Rock News,W,Sedona,Yavapai,3453,Larson Newspapers,Private,11927
AZ,18156,San Pedro Valley News-Sun,W,Benson,Cochise,5813,Wick Communications,Private,1748
AZ,18150,San Manuel Miner,W,Kearny,Pinal,6058,Copper Area News Publishers,Private,3346
AZ,18146,San Carlos Apache Moccasin,W,Globe,Gila,4121,News Media Corporation,Private,1973
AZ,17917,Prescott Valley Tribune,W,Chino Valley,Yavapai,5767,Western News and Info,Private,15520
AZ,17789,Peoria Times,W,Glendale,Maricopa,4543,Pueblo Publishers Inc.,Private,4549
AZ,17746,Parker Pioneer,W,Parker,La Paz,5813,Wick Communications,Private,2107
AZ,17599,Explorer,W,Tucson,Pima,6034,Tucson Local Media,Investment,44313
AZ,17572,Scottsdale Independent,W,Phoenix,Maricopa,3091,Independent Newsmedia,Private,15005
AZ,17571,Queen Creek/San Tan Valley Independent,W,Queen Creek,Maricopa,3091,Independent Newsmedia,Private,15868
AZ,17526,Nogales International,W,Nogales,Santa Cruz,5813,Wick Communications,Private,1648
AZ,16899,Lake Powell Chronicle,W,Page,Coconino,4121,News Media Corporation,Private,2031
AZ,16612,Tribune-News The,W,Holbrook,Navajo,4068,Navajo County Publishers Inc.,Private,4028
AZ,16419,Green Valley News & Sun,W,Green Valley,Pima,5813,Wick Communications,Private,6562
AZ,16183,Florence Reminder & Blade-Tribune,W,Florence,Pinal,1651,Casa Grande Valley Newspapers,Private,1631
AZ,16086,Eloy Enterprise,W,Eloy,Pinal,1651,Casa Grande Valley Newspapers,Private,875
AZ,16009,Eastern Arizona Courier,W,Safford,Graham,5813,Wick Communications,Private,4820
AZ,15753,Cottonwood Journal Extra,W,Cottonwood,Yavapai,3453,Larson Newspapers,Private,9048
AZ,15730,Copper Era,W,Safford,Greenlee,5813,Wick Communications,Private,1113
